lnk,id
https://www.sofascore.com/sampdoria-udinese/Vdbsleb,9645076
https://www.sofascore.com/roma-atalanta/Ldbsceb,9645077
https://www.sofascore.com/cagliari-lazio/Zdbsueb,9645241
https://www.sofascore.com/genoa-empoli/febsneb,9645214
https://www.sofascore.com/torino-bologna/KdbsWdb,9645259
https://www.sofascore.com/hellas-verona-fiorentina/Tdbsbeb,9645255
https://www.sofascore.com/sassuolo-venezia/NdbsTfb,9645074
https://www.sofascore.com/spezia-juventus/MdbsKeb,9645400
https://www.sofascore.com/napoli-milan/Rdbsoeb,9645226
https://www.sofascore.com/udinese-milan/RdbsVdb,9645402
https://www.sofascore.com/genoa-inter/Xdbsneb,9645235
https://www.sofascore.com/salernitana-bologna/Kdbskeb,9645256
https://www.sofascore.com/empoli-juventus/Mdbsfeb,9645434
https://www.sofascore.com/sassuolo-fiorentina/TdbsTfb,9645228
https://www.sofascore.com/cagliari-torino/Wdbsueb,9645234
https://www.sofascore.com/hellas-verona-venezia/Ndbsbeb,9645730
https://www.sofascore.com/spezia-roma/cebsKeb,9645429
https://www.sofascore.com/napoli-lazio/Zdbsoeb,9645437
https://www.sofascore.com/sampdoria-atalanta/Ldbsleb,9645268
https://www.sofascore.com/torino-juventus/MdbsWdb,9645243
https://www.sofascore.com/sampdoria-empoli/febsleb,9645431
https://www.sofascore.com/roma-hellas-verona/bebsceb,9645227
https://www.sofascore.com/salernitana-milan/Rdbskeb,9645216
https://www.sofascore.com/fiorentina-atalanta/LdbsTdb,9645722
https://www.sofascore.com/genoa-venezia/Ndbsneb,9645725
https://www.sofascore.com/sassuolo-inter/XdbsTfb,9645731
https://www.sofascore.com/lazio-udinese/VdbsZdb,9645269
https://www.sofascore.com/cagliari-napoli/oebsueb,9645433
https://www.sofascore.com/spezia-bologna/KdbsKeb,9645225
https://www.sofascore.com/lazio-bologna/KdbsZdb,9645724
https://www.sofascore.com/napoli-inter/Xdbsoeb,9645419
https://www.sofascore.com/torino-venezia/NdbsWdb,9645210
https://www.sofascore.com/sampdoria-milan/Rdbsleb,9645242
https://www.sofascore.com/cagliari-empoli/febsueb,9645404
https://www.sofascore.com/genoa-salernitana/kebsneb,9645401
https://www.sofascore.com/hellas-verona-udinese/Vdbsbeb,9645432
https://www.sofascore.com/sassuolo-roma/cebsTfb,9645213
https://www.sofascore.com/juventus-atalanta/LdbsMdb,9645430
https://www.sofascore.com/spezia-fiorentina/TdbsKeb,9645408
https://www.sofascore.com/genoa-roma/cebsneb,9645211
https://www.sofascore.com/inter-milan/RdbsXdb,9645414
https://www.sofascore.com/lazio-fiorentina/TdbsZdb,9645266
https://www.sofascore.com/cagliari-atalanta/Ldbsueb,9645224
https://www.sofascore.com/empoli-bologna/Kdbsfeb,9645399
https://www.sofascore.com/sassuolo-sampdoria/lebsTfb,9645262
https://www.sofascore.com/napoli-venezia/Ndbsoeb,9645252
https://www.sofascore.com/torino-udinese/VdbsWdb,9645435
https://www.sofascore.com/hellas-verona-juventus/Mdbsbeb,9645244
https://www.sofascore.com/spezia-salernitana/kebsKeb,9645444
https://www.sofascore.com/hellas-verona-bologna/Kdbsbeb,9645412
https://www.sofascore.com/genoa-udinese/Vdbsneb,9645727
https://www.sofascore.com/inter-venezia/NdbsXdb,9645416
https://www.sofascore.com/lazio-atalanta/LdbsZdb,9645272
https://www.sofascore.com/cagliari-fiorentina/Tdbsueb,9645723
https://www.sofascore.com/napoli-salernitana/kebsoeb,9645729
https://www.sofascore.com/spezia-sampdoria/lebsKeb,9645260
https://www.sofascore.com/sassuolo-torino/WdbsTfb,9645741
https://www.sofascore.com/empoli-roma/cebsfeb,9645740
https://www.sofascore.com/milan-juventus/MdbsRdb,9645257
https://www.sofascore.com/sampdoria-torino/Wdbsleb,9645413
https://www.sofascore.com/salernitana-lazio/Zdbskeb,9645427
https://www.sofascore.com/udinese-juventus/MdbsVdb,9645397
https://www.sofascore.com/sassuolo-hellas-verona/bebsTfb,9645263
https://www.sofascore.com/empoli-venezia/Ndbsfeb,9645726
https://www.sofascore.com/cagliari-roma/cebsueb,9645440
https://www.sofascore.com/inter-atalanta/LdbsXdb,9645104
https://www.sofascore.com/napoli-bologna/Kdbsoeb,9645102
https://www.sofascore.com/spezia-milan/RdbsKeb,9645222
https://www.sofascore.com/genoa-fiorentina/Tdbsneb,9645103
https://www.sofascore.com/milan-venezia/NdbsRdb,9645107
https://www.sofascore.com/sassuolo-empoli/febsTfb,9645090
https://www.sofascore.com/napoli-sampdoria/lebsoeb,9645415
https://www.sofascore.com/udinese-atalanta/LdbsVdb,9645271
https://www.sofascore.com/spezia-genoa/nebsKeb,9645092
https://www.sofascore.com/roma-juventus/Mdbsceb,9645438
https://www.sofascore.com/salernitana-hellas-verona/bebskeb,9645083
https://www.sofascore.com/lazio-inter/XdbsZdb,9645085
https://www.sofascore.com/torino-fiorentina/TdbsWdb,9645108
https://www.sofascore.com/cagliari-bologna/Kdbsueb,9645093
https://www.sofascore.com/inter-bologna/KdbsXdb,9645420
https://www.sofascore.com/cagliari-sampdoria/lebsueb,9645095
https://www.sofascore.com/empoli-lazio/Zdbsfeb,9645270
https://www.sofascore.com/spezia-hellas-verona/bebsKeb,9645100
https://www.sofascore.com/torino-atalanta/LdbsWdb,9645207
https://www.sofascore.com/sassuolo-genoa/nebsTfb,9645096
https://www.sofascore.com/roma-milan/Rdbsceb,9645230
https://www.sofascore.com/salernitana-venezia/Ndbskeb,9645443
https://www.sofascore.com/udinese-fiorentina/TdbsVdb,9645233
https://www.sofascore.com/napoli-juventus/Mdbsoeb,9645206
https://www.sofascore.com/udinese-fiorentina/TdbsVdb,10226857
https://www.sofascore.com/salernitana-venezia/Ndbskeb,10226858
https://www.sofascore.com/torino-atalanta/LdbsWdb,10226860
https://www.sofascore.com/inter-bologna/KdbsXdb,10226862
https://www.sofascore.com/salernitana-venezia/Ndbskeb,10269142
https://www.sofascore.com/salernitana-udinese/Vdbskeb,9645212
https://www.sofascore.com/genoa-atalanta/Ldbsneb,9645215
https://www.sofascore.com/cagliari-juventus/Mdbsueb,9645267
https://www.sofascore.com/sassuolo-bologna/KdbsTfb,9645208
https://www.sofascore.com/lazio-venezia/NdbsZdb,9645405
https://www.sofascore.com/hellas-verona-fiorentina/Tdbsbeb,9645236
https://www.sofascore.com/inter-torino/WdbsXdb,9645407
https://www.sofascore.com/sampdoria-roma/cebsleb,9645398
https://www.sofascore.com/empoli-milan/Rdbsfeb,9645060
https://www.sofascore.com/spezia-napoli/oebsKeb,9645239
https://www.sofascore.com/salernitana-udinese/Vdbskeb,10226891
https://www.sofascore.com/genoa-lazio/Zdbsneb,9645147
https://www.sofascore.com/salernitana-inter/Xdbskeb,9645140
https://www.sofascore.com/roma-atalanta/Ldbsceb,9645118
https://www.sofascore.com/juventus-bologna/KdbsMdb,9645121
https://www.sofascore.com/cagliari-udinese/Vdbsueb,9645120
https://www.sofascore.com/sassuolo-fiorentina/TdbsTfb,9645143
https://www.sofascore.com/spezia-empoli/febsKeb,9645142
https://www.sofascore.com/sampdoria-venezia/Ndbsleb,9645137
https://www.sofascore.com/hellas-verona-torino/Wdbsbeb,9645132
https://www.sofascore.com/napoli-milan/Rdbsoeb,9645136
https://www.sofascore.com/genoa-sampdoria/lebsneb,9645160
https://www.sofascore.com/salernitana-fiorentina/Tdbskeb,9645159
https://www.sofascore.com/venezia-juventus/MdbsNdb,9645115
https://www.sofascore.com/udinese-milan/RdbsVdb,9645125
https://www.sofascore.com/torino-bologna/KdbsWdb,9645119
https://www.sofascore.com/hellas-verona-atalanta/Ldbsbeb,9645158
https://www.sofascore.com/napoli-empoli/febsoeb,9645157
https://www.sofascore.com/sassuolo-lazio/ZdbsTfb,9645130
https://www.sofascore.com/cagliari-inter/Xdbsueb,9645162
https://www.sofascore.com/spezia-roma/cebsKeb,9645134
https://www.sofascore.com/salernitana-milan/Rdbskeb,9645145
https://www.sofascore.com/roma-inter/Xdbsceb,9645153
https://www.sofascore.com/napoli-atalanta/Ldbsoeb,9645146
https://www.sofascore.com/fiorentina-bologna/KdbsTdb,9645150
https://www.sofascore.com/sassuolo-spezia/KebsTfb,9645161
https://www.sofascore.com/hellas-verona-venezia/Ndbsbeb,9645155
https://www.sofascore.com/sampdoria-lazio/Zdbsleb,9645154
https://www.sofascore.com/genoa-juventus/Mdbsneb,9645148
https://www.sofascore.com/empoli-udinese/Vdbsfeb,9645149
https://www.sofascore.com/cagliari-torino/Wdbsueb,9645151
https://www.sofascore.com/venezia-atalanta/LdbsNdb,9645163
https://www.sofascore.com/sampdoria-fiorentina/Tdbsleb,9645179
https://www.sofascore.com/cagliari-hellas-verona/bebsueb,9645176
https://www.sofascore.com/salernitana-juventus/Mdbskeb,9645165
https://www.sofascore.com/roma-bologna/Kdbsceb,9645181
https://www.sofascore.com/spezia-inter/XdbsKeb,9645173
https://www.sofascore.com/genoa-milan/Rdbsneb,9645174
https://www.sofascore.com/sassuolo-napoli/oebsTfb,9645168
https://www.sofascore.com/empoli-torino/Wdbsfeb,9645152
https://www.sofascore.com/lazio-udinese/VdbsZdb,9645177
https://www.sofascore.com/cagliari-salernitana/kebsueb,9645191
https://www.sofascore.com/empoli-fiorentina/Tdbsfeb,9645190
https://www.sofascore.com/sampdoria-hellas-verona/bebsleb,9645172
https://www.sofascore.com/juventus-atalanta/LdbsMdb,9645183
